Track Name,Blinding Lights,Dance Monkey,The Box,Roses - Imanbek Remix,Don't Start Now,ROCKSTAR (feat. Roddy Ricch),Watermelon Sugar,death bed (coffee for your head),Falling,Someone You Loved,Tusa,ROXANNE,Circles,Blueberry Faygo,Intentions (feat. Quavo),Toosie Slide,Before You Go,Say So,Memories,Life Is Good (feat. Drake),Savage Love (Laxed - Siren Beat),Adore You,Breaking Me,Mood (feat. iann dior),everything i wanted,Señorita,bad guy,WAP (feat. Megan Thee Stallion),Sunday Best,Godzilla (feat. Juice WRLD),Yummy,Break My Heart,Dynamite,Supalonely (feat. Gus Dapperton),ily (i love you baby) (feat. Emilee),Rain On Me (with Ariana Grande),HIGHEST IN THE ROOM,Sunflower - Spider-Man: Into the Spider-Verse,Hawái,Ride It,goosebumps,RITMO (Bad Boys For Life),THE SCOTTS,Safaera,lovely (with Khalid),Lucid Dreams,Stuck with U (with Justin Bieber),If the World Was Ending - feat. Julia Michaels,Physical,SICKO MODE
Blinding Lights,0.9999999999999999,-0.6425584912891563,-0.4225774840619683,-0.1894115141699124,-0.06729830143277712,-0.4896826352457476,0.3578297345056516,-0.17852634321072197,0.0008367365904672762,0.18506855419811255,-0.13037938206461971,0.14803371370576732,0.5102597510629896,0.11486394040351841,-0.1690381678617112,-0.4587421455508541,0.42460452786462044,-0.46335521845225736,-0.6278631161890122,0.0849141704065412,0.21816990462969238,0.07231604908540057,-0.24433936784928786,-0.2534722203012003,-0.13087046886640252,-0.22134461577867748,-0.12777293400599937,0.002365624676940712,-0.33353010472845984,-0.03861046032234264,0.22549667510139904,0.15820206526464456,0.07433595532844829,-0.3000419049092071,0.01789550679319495,0.1695528718120516,0.008115441444248148,-0.36438392293914096,0.3221992244205887,-0.27825036669198133,0.15103401973802258,-0.2817740762582321,0.49867224773151986,0.0978959762353933,0.20287743543349288,-0.00891005651598973,0.4259370945457936,-0.11193516178907649,0.6653318187827022,0.17262260922530107
Dance Monkey,-0.6425584912891563,1.0,0.013428843054406808,-0.2749463286599903,-0.2254452986541649,0.24525599436279955,-0.25902252575859824,0.217112707228469,-0.04188102100612836,0.2918871973211983,0.19011912129330982,-0.5071646861574598,-0.09030086128216072,0.1398041879848655,0.060214815442658984,0.3726329698397765,0.15023918871557593,0.2142085338075359,0.7172976949678659,-0.21648306629923178,-0.17875194468185754,-0.18473222015861493,-0.061720786767359814,0.008158765533685703,0.21493574790061037,-0.1706729122325874,-0.07083724767754701,-0.09508589017689029,0.18270017645665537,-0.29273576257649303,-0.06175270828408411,-0.06277177086590102,-0.29406020498884755,0.2627606751699643,-0.2440743956627989,-0.394262544072452,-0.03058153348139372,0.4074735889049891,-0.3266193813668466,0.0476301044811537,-0.011396375374963675,-0.13603560020033695,-0.09858159052685057,-0.14995715551767863,0.23081568258913782,0.09490102772692022,-0.3874574300472013,0.42422947870434013,-0.47940496650223524,-0.12713322366610896
The Box,-0.4225774840619683,0.013428843054406808,0.9999999999999999,0.48538606078662516,0.129910133264722,0.016267797487913266,-0.04634051673024297,0.5744128956228538,0.05804141151431643,-0.4645864280330334,-0.38189299689619577,0.4843660692775456,-0.4121176345308069,-0.17317740153892414,0.11018413229041617,-0.10160646267063496,-0.5388698340268249,0.04578687936029071,-0.02253501024952909,-0.18155388606502273,0.10312298910081143,-0.10510185739135754,0.0018390115829001342,0.22543406372748837,-0.11263599961028849,0.09899735149001518,-0.19301749854675027,-0.13821667492692102,0.03439745174904806,0.2533873925967139,-0.15718784289536913,0.3048510298979578,-0.10479693847635771,0.14455411817375968,0.4867842542114138,0.3507400275764278,-0.003632774724763702,-0.2042905702912532,-0.2347521810272896,0.12427561640093641,0.09518913610655996,0.8974767229347088,-0.23959669367597716,-0.29508315217166053,-0.37848905558793733,-0.044456816727468526,0.25433648013623966,-0.3980051389042931,-0.29437782031745025,-0.014513347723925502
Roses - Imanbek Remix,-0.1894115141699124,-0.2749463286599903,0.48538606078662516,1.0,0.7251614806957576,0.10259114985656974,0.17729113344392972,-0.19372600343164154,-0.13820617621380282,-0.5552765453151098,-0.11577569498706199,0.19505522620697605,0.017378895687634857,-0.2442266334533142,0.4676180995310274,-0.12643738967175003,-0.7208718459767884,0.35915936210743127,-0.24227227287969996,-0.3131570126481536,0.16190220510135342,0.4021830580951867,0.5036185280476878,0.6568558571264794,-0.4502475361735173,0.6487102923520061,-0.3761167049573569,-0.31285241096577493,0.41217549170296913,0.40028301682845363,-0.2522206451731727,0.1192388433036972,0.6883621166401279,0.5406639882005301,0.23554094287249047,0.7195964952890852,-0.3981374113983434,0.2530358378188139,-0.0024416413736269146,0.8020825705012776,0.13640984513901008,0.48066121494203523,-0.3958976414255185,-0.15404430734652766,-0.7334965270220926,-0.6441693721846619,-0.047358609784329306,-0.5330297781171797,0.3753173566231812,-0.10141593760060226
Don't Start Now,-0.06729830143277712,-0.2254452986541649,0.129910133264722,0.7251614806957576,1.0000000000000002,0.42989901187925095,-0.03973766119068823,-0.4431695841842813,0.0937298370652222,-0.6460174481152458,0.06844795166235335,-0.03322400589319329,0.05799184653051064,-0.35907496842386377,0.3853374621954653,-0.3874845402182287,-0.48681028330998594,0.5957363917629168,-0.18599630920916466,-0.2401716909687578,-0.36205652279474676,0.6946639846135677,0.6825138865219877,0.49166694655469984,-0.45998713701921956,0.6440958539684475,-0.3578573137525759,-0.23533578006104275,0.26395958475710873,0.43611177819985647,0.020456989464312087,0.11109531683143632,0.7801464351546545,0.4837248319911887,0.37594040071223894,0.7475242595729827,-0.27826820582425177,-0.03387558364861008,0.2722511792526427,0.7427952518685531,0.4791040770733592,0.1284824562360969,-0.4655116981708193,-0.035086298306513025,-0.6861869710525673,-0.5343664207251244,-0.16973533467571056,-0.6991830526455924,0.28509218926067553,0.21752564367979565
ROCKSTAR (feat. Roddy Ricch),-0.4896826352457476,0.24525599436279955,0.016267797487913266,0.10259114985656974,0.42989901187925095,1.0000000000000004,-0.21873457219857362,-0.09682146112902246,0.41014316472513057,-0.29312636538910564,-0.009600686446503087,-0.028263976762786046,-0.49350058064378044,0.005736924431309019,-0.0829038174627525,-0.0021298550879200306,-0.183865456077284,0.3317163297542421,0.3725765079771435,-0.18380481022284983,-0.5396160793907813,0.29776401133464164,0.4866181420719035,0.2460241845157862,-0.00046091469631596445,0.2835119347228538,0.19011901439286283,-0.06826131409478561,0.1972063986022043,-0.03704784997670616,-0.031860252199365904,-0.3528672157949927,0.10888864850381164,-0.15056535678791305,0.5456882795654331,0.1142844757711089,0.38541626366910936,-0.0666481942353476,-0.21404016047788663,0.19303807774052692,-0.14244983873877712,0.06347357610831172,-0.2934435462033715,-0.10701078979284821,-0.03910550962922657,0.15865264327504103,-0.5122614523853232,0.05412299373481136,-0.5120483131688861,-0.20735963614284558
Watermelon Sugar,0.3578297345056516,-0.25902252575859824,-0.04634051673024297,0.17729113344392972,-0.03973766119068823,-0.21873457219857362,1.0,-0.20389805650738216,-0.4363973055620194,0.25646115470299025,0.20029915379416544,0.5023110306698637,0.6258941185117407,0.3236108268491546,-0.6047215806936984,-0.17036017017516675,0.3258701262913392,-0.3903281525700053,-0.49205091690430514,-0.2981693305624602,0.003577542270126864,0.4242062605206899,-0.11346519767902559,0.5678547688073253,-0.37395033778482534,-0.25070117087489824,-0.580226643931292,-0.3480554478184076,-0.17148501040165726,-0.35656783872081427,-0.6539471216722406,0.5696795946443188,0.33631399079636454,-0.3222801600308873,0.177744163312129,0.4869162688094479,0.1230910752502257,0.25202430732668735,-0.260781574948226,0.07740095873058714,-0.07795029513843063,0.19620645755014218,0.2486454804135576,0.20623294786543958,-0.03225679267654201,0.190283861630363,-0.27136305518417214,0.15347470381277972,0.5930820491145954,-0.34176645286889473
death bed (coffee for your head),-0.17852634321072197,0.217112707228469,0.5744128956228538,-0.19372600343164154,-0.4431695841842813,-0.09682146112902246,-0.20389805650738216,0.9999999999999998,0.2629920926015697,0.1973397410912937,-0.4952579146646313,0.4237344541668998,-0.5977565540511114,-0.012375927737898194,-0.0644272890550095,-0.25565797556221975,0.046612492052913644,-0.4208312089624875,0.31937835986144647,-0.10896152487148043,0.2673250599265073,-0.6769446794109505,-0.20215820238063817,-0.13421945058052953,0.24961038119226023,-0.39944645845981686,0.23532154074696493,-0.028962616130485803,-0.17447597529621742,0.040463450760715995,0.26892534403739704,-0.1222654901230573,-0.7955899446520588,-0.33199606510280133,0.309837602598907,-0.18006908370268884,0.17472822516767628,-0.2178353871548409,-0.1440532465745423,-0.3705045617303833,-0.3849036561348446,0.4341654041841696,0.17926949503328063,-0.5453824583997898,0.3905540720608923,0.2293381784784618,0.46697574666277447,0.14765152645209628,-0.5327287981061299,-0.29760942019483244
Falling,0.0008367365904672762,-0.04188102100612836,0.05804141151431643,-0.13820617621380282,0.0937298370652222,0.41014316472513057,-0.4363973055620194,0.2629920926015697,1.0,0.014955187932154232,-0.502796612410354,0.1085835759182648,-0.5075228426682162,0.389111827836974,0.06522754538375258,-0.3257251201710377,-0.022974650337889965,-0.2878049233628717,0.3856502481319118,-0.26648107475592536,0.0611304118606684,-0.17115616472838313,0.017841298540097597,-0.11324695862917604,0.20524675111266533,0.3446117838758993,0.24577974031112884,0.2237271901263589,0.42187054808274355,-0.28537108566926117,0.4892602783698061,-0.5063641736555416,-0.3552987455316164,-0.27223695825791233,0.3785732863828488,-0.1936332417950029,0.6452263741081997,-0.23150240793290414,-0.19342685351450156,-0.10944117295813474,-0.10973247069421474,-0.14445511979019907,0.4376984488701563,-0.7210684549880741,0.29483615511453964,-0.06810288348651614,0.14332280959703353,-0.13821007161117757,-0.4741763145022473,-0.2764142035588687
Someone You Loved,0.18506855419811255,0.2918871973211983,-0.4645864280330334,-0.5552765453151098,-0.6460174481152458,-0.29312636538910564,0.25646115470299025,0.1973397410912937,0.014955187932154232,0.9999999999999999,-0.08631395645426693,-0.019645189768675693,0.17648645797865392,0.3753439152561921,-0.2674901245585023,-0.006504290958417611,0.7980551436345291,-0.48845380553780127,0.4439213817875659,-0.3228584289027807,0.17115216358826485,-0.26444442711503535,-0.49986798828558165,0.012574865403064716,0.21878881892974278,-0.2995085682629841,-0.03185595599757731,-0.2229889460950092,-0.07385144785914925,-0.6712278680494921,0.1654268882640056,-0.17614309276967563,-0.4920658009702659,-0.358933571066121,-0.37582027880315766,-0.42663455516502347,0.313504729028647,0.4438087478030318,-0.3603751957390826,-0.4059518124591709,-0.4654460910532971,-0.4276737582013656,0.4657435858731632,-0.23002903954156226,0.8335508340613524,0.32512172085414853,0.06577924450997076,0.7582694503988823,-0.04537996026505164,-0.5137331245450811
