Artist,Album,Track Name,Track Id,Energy,Danceability,Key,Loudness,Acousticness,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Song Duration,Genre
The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.7899375370118605,-1.6385491692125242,-1.285497628861927,0.1254875246935168,-0.9701476224555744,-0.5564311767935303,-0.16994324808948602,-0.6111593480712816,-1.035004512544987,2.0395815542222366,0.002514972447284561,R&B/Soul
Tones And I,Dance Monkey,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,-0.10667756299331656,0.8752076955521494,0.07625833391553812,-0.07527531885520697,1.6444004828346799,-0.21924207994546654,-0.1692406200907013,-0.15186896838607303,-0.07333868969411278,-0.8590230908698758,0.29118412799271787,Alternative/Indie
Roddy Ricch,Please Excuse Me For Being Antisocial,The Box,0nbXyq5TXYPCO7pr3N8S4I,-0.15249001335854462,1.4490878801125737,1.1656631041375103,-0.1982264393154535,-0.5796448655638236,-0.5901500864783366,-0.17096505770966988,3.394333215982909,0.40282594103787334,-0.10808945093233163,-0.09812552470478778,Hip-Hop/Rap
SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,2Wo6QQD1KMDWeFkkjLqwx5,0.7310358151137101,0.5518949155181083,0.6209607190265242,0.33054935846812356,-0.9189641130677733,-0.6359732201525605,-0.12469443339945753,0.5058943400049476,1.5792326757874864,0.09028612716158053,-0.7052964484737414,Dance/Electronic
Dua Lipa,Future Nostalgia,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,1.202249590298913,0.6165574715249167,1.4380142966930034,0.7329348436107479,-0.928865684824342,-0.35584689354032306,-0.17096505770966988,-0.5802730709816162,0.5755523266955548,0.16930248645845436,-0.49519046814829015,Nu-disco
DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,0.5281521063534145,0.23666495498491738,1.4380142966930034,-0.7437682989799731,-0.035058418952546085,0.3444689229902707,-0.17096505770966988,-0.5465269534206856,-0.2740747595124993,-1.1810107803386762,-0.541454788805443,Hip-Hop/Rap
Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,1.3527762129275187,-1.3637333061835886,-1.55784882141742,0.8670633386582896,-0.5110955226337326,-0.6714213046929981,-0.17096505770966988,0.7918783871314786,0.006022082094551653,-0.9658621118910011,-0.7712312766935372,Pop
Powfu,death bed (coffee for your head),death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,-1.166908557160022,0.0750085649678964,0.6209607190265242,-1.0915566082538868,1.8081572465010083,0.09373856892376185,-0.17096505770966988,2.8566832073850303,-0.9696485828366753,0.9672564247099836,-0.7910503530444177,Hip-Hop/Rap
Trevor Daniel,Nicotine,Falling,2rRJrJEo19S2J82BDsQ3F7,-1.173453192926483,0.5438120960172572,1.1656631041375103,-1.0876875170505922,-0.5072872258042831,-0.7587446349023684,-0.17096505770966988,-0.6168790290138122,-1.4924960205031699,0.29398775764270657,-1.2055869859846484,R&B/Hip-Hop alternative
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,-1.3370690870880115,-1.743625822723588,-1.285497628861927,0.2351117754535266,1.884323183089998,-0.797651069154068,-0.17096505770966988,-0.5236482296505631,-0.5121570748784924,-0.389495800943331,-0.5287373005323143,Alternative/Indie
KAROL G,Tusa,Tusa,7k4t7uLgtOxPwTpFmtJNTY,0.6917680005149432,0.6973856665334272,-1.013146436306434,1.2664395306427958,0.14773982886102952,1.5030160762631046,-0.16952981149264015,-0.7959050425150204,0.08538285388321558,-0.7395048854344136,0.029851629482981798,Pop
Arizona Zervas,ROXANNE,ROXANNE,696DnlkuDOXcMAnKlTgXXK,-0.05432047686162734,-0.7736874826214628,0.07625833391553812,0.2621954138765881,-0.7769146413293072,0.20613493453978293,-0.17096505770966988,1.5068385049478057,-0.460805987250533,-0.11746966259936512,-1.0791846609521962,Hip-Hop/Rap
Post Malone,Hollywood's Bleeding,Circles,21jGcNKet2qwijlDFuPiPb,0.9993658815386174,-0.1755588395584861,-1.55784882141742,1.1731514427411405,-0.24451474457226816,-0.7319424246400864,-0.14483072360853144,-0.6306062632758856,-0.012651040679251744,0.013972540717919596,0.4553526389951388,Pop/Soft Rock
Lil Mosey,Certified Hitmaker,Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,-0.36191835788530075,0.46298390100874676,-1.55784882141742,-0.723563044918324,-0.1873902921305258,-0.742317473773873,-0.17096505770966988,-0.36921684420223644,-0.9649803021432245,-0.8210252842864696,-1.1115429430303203,Hip-Hop/Rap
Justin Bieber,Changes,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,-0.41427544401698996,0.7216341250359803,0.8933119115820172,-0.1767314881860395,0.16678131300827698,-0.5763166876332878,-0.17096505770966988,-0.540807272478155,1.4858670619184693,1.1246531967500333,0.38365334179172855,Pop
Drake,Dark Lane Demo Tapes,Toosie Slide,466cKvZn1j45IpxDdYZqdA,-0.7807750469388144,0.9156217930564046,-1.285497628861927,-1.1152010544962416,0.12489004788433253,0.7335332655072672,-0.17093249689997012,-0.47789078211031816,1.3504869218083948,-1.5138095612203286,1.399626143274946,Hip-Hop/Rap
